,cost,time
#1,570.417,48.3
#2,611.5,48.39
#3,541.417,50.15
#4,587.083,48.69
#5,548.0,51.17
#6,528.333,44.8
#7,564.5,40.86
#8,540.083,42.14
#9,536.917,41.01
#10,557.167,40.66
#11,547.833,40.77
#12,597.0,41.11
#13,515.667,40.9
#14,577.083,41.5
#15,538.917,41.57
#16,552.75,40.64
#17,564.25,41.16
#18,528.917,40.86
#19,590.083,40.69
#20,567.667,40.78
#21,601.0,40.51
#22,588.167,41.31
#23,555.5,41.76
#24,572.667,41.94
#25,542.25,41.28
#26,542.083,42.16
#27,591.167,42.41
#28,564.833,42.5
#29,579.333,41.43
#30,613.833,41.32
median,564.375,41.375
avg,563.880566667,42.759
