,best cost,Nsol,worst cost,avg cost,median cost,avg time
TIC01-10-10-3,501.5,1.0,922.0,735.666666667,783.5,0.0233333333333
TIC03-40-40-3,642.0,1.0,1495.67,1112.72333333,1200.5,0.45
TIC04-30-30-3,679.0,1.0,1477.67,1186.39,1402.5,0.163333333333
TIC04-50-50-3,852.833,1.0,1868.5,1225.861,956.25,0.853333333333
TIC07-10-10-3,342.833,1.0,1300.0,689.416666667,425.417,0.0233333333333
TIC08-30-30-3,880.0,1.0,1284.33,1121.80333333,1201.08,0.183333333333
TIC08-40-40-3,999.667,1.0,1988.5,1342.41566667,1039.08,0.42
TIC10-10-10-3,708.5,1.0,1040.5,929.833333333,1040.5,0.0266666666667
TIC10-20-20-3,381.583,1.0,1257.0,737.861,575.0,0.07
TIC11-40-40-4,638.2,1.0,839.0,737.683333333,735.85,0.426666666667
TIC11-50-50-4,570.033,1.0,898.833,784.688666667,885.2,0.873333333333
TIC16-30-30-4,528.933,1.0,763.867,620.455666667,568.567,0.23
TIC17-10-10-4,286.15,1.0,1129.0,674.327666667,607.833,0.0266666666667
TIC19-10-10-4,747.5,1.0,1177.0,949.666666667,924.5,0.0366666666667
TIC20-20-20-4,579.167,1.0,1607.0,1148.389,1259.0,0.06
TIC37-30-30-4,1189.07,1.0,1584.83,1388.57666667,1391.83,0.176666666667
TIC38-10-10-4,372.333,1.0,813.5,581.477666667,558.6,0.05
TIC40-40-40-4,621.7,1.0,893.133,719.583333333,643.917,0.423333333333
TIC40-50-50-4,564.917,1.0,993.45,771.072333333,754.85,0.89
TIC42-30-30-3,544.333,1.0,666.167,595.444333333,575.833,0.223333333333
TIC44-30-30-3,630.083,1.0,996.667,754.5,636.75,0.183333333333
TIC44-40-40-3,711.083,1.0,984.75,867.166666667,905.667,0.456666666667
TIC45-50-50-3,1175.0,1.0,1878.5,1585.05666667,1701.67,0.783333333333
TIC46-30-30-3,616.417,1.0,1072.0,844.916666667,846.333,0.173333333333
TIC47-20-20-3,675.833,1.0,1060.0,826.166666667,742.667,0.0666666666667
TIC47-50-50-3,827.667,1.0,1413.5,1044.61133333,892.667,0.86
TIC48-20-20-3,667.833,1.0,780.167,737.055666667,763.167,0.08
TIC49-20-20-3,520.417,1.0,1386.67,868.612333333,698.75,0.0733333333333
TIC50-10-10-3,424.333,2.0,709.417,519.361,424.333,0.03
TIC52-10-10-4,535.167,1.0,1225.0,784.666666667,593.833,0.03
TIC52-40-40-4,787.5,1.0,903.85,836.861,819.233,0.42
TIC53-20-20-4,920.167,1.0,1049.0,968.722333333,937.0,0.06
TIC53-50-50-4,727.767,1.0,931.333,804.666666667,754.9,0.826666666667
TIC54-40-40-4,527.883,1.0,1418.5,1023.62766667,1124.5,0.426666666667
TIC55-20-20-4,713.717,1.0,1433.33,980.36,794.033,0.0666666666667
TIC56-20-20-4,681.667,1.0,1408.5,1037.249,1021.58,0.0633333333333
TIC58-40-40-4,602.417,1.0,767.167,691.128,703.8,0.44
TIC58-50-50-4,585.917,1.0,1255.17,843.029,688.0,0.853333333333
TIC59-50-50-4,898.4,1.0,1549.5,1141.05,975.25,0.83
TIC60-30-30-4,723.367,1.0,1271.33,910.038,735.417,0.19
